                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                  1.055,                 1.3242,                 1.3843,                 0.9958,                0.94118,                0.98042,                0.64682,                 1.0514,                 1.2458,                 1.6116,             0.00052359,             0.00052359,             0.00052359
                     67,                 1.0728,                 1.1821,                 1.3736,                0.99605,                0.94118,                0.98974,                0.65368,                  1.115,                 1.3338,                 1.6554,             0.00050944,             0.00050944,             0.00050944
                     68,                  1.022,                 1.2471,                 1.3423,                0.99713,                0.94118,                0.99222,                0.66743,                  1.079,                 1.3078,                 1.6347,             0.00049529,             0.00049529,             0.00049529
                     69,                0.96666,                  1.113,                 1.2962,                      1,                0.93332,                 0.9875,                0.70908,                 1.0074,                 1.3572,                 1.6211,             0.00048114,             0.00048114,             0.00048114
                     70,                0.96403,                 1.2263,                 1.3359,                      1,                0.93275,                 0.9875,                0.71798,                0.97775,                 1.4463,                 1.6105,               0.000467,               0.000467,               0.000467
                     71,                0.98538,                 1.1242,                 1.3599,                0.99225,                0.88235,                0.98397,                0.69101,                0.95582,                 1.3498,                 1.6269,             0.00045285,             0.00045285,             0.00045285
                     72,                0.98881,                 1.0967,                 1.3001,                0.94414,                0.99454,                0.99222,                0.66343,                 1.0139,                 1.2976,                 1.6421,              0.0004387,              0.0004387,              0.0004387
                     73,                 1.0574,                 1.1159,                  1.433,                      1,                0.98803,                  0.995,                0.64142,                 1.0429,                 1.3144,                 1.6545,             0.00042456,             0.00042456,             0.00042456
                     74,                 1.0522,                 1.1688,                 1.3503,                0.99847,                0.94118,                0.99222,                 0.6749,                 1.0595,                 1.1927,                 1.6582,             0.00041041,             0.00041041,             0.00041041
                     75,                0.82829,                 1.0333,                 1.2315,                0.99847,                0.94118,                0.99222,                 0.6749,                 1.0595,                 1.1927,                 1.6582,             0.00039626,             0.00039626,             0.00039626
                     76,                0.95699,                 1.0634,                 1.2902,                0.99849,                0.94118,                0.99222,                0.64156,                   1.01,                 1.1816,                 1.6276,             0.00038211,             0.00038211,             0.00038211
                     77,                 1.0281,                 1.0941,                 1.3939,                      1,                0.94018,                0.98974,                0.67155,                0.99766,                 1.1615,                 1.5778,             0.00036797,             0.00036797,             0.00036797
                     78,                0.97787,                 1.0477,                 1.3312,                      1,                0.93932,                0.98548,                0.67444,                0.96519,                 1.2084,                 1.5353,             0.00035382,             0.00035382,             0.00035382
                     79,                0.92455,                0.98965,                 1.2655,                      1,                0.93742,                0.98548,                0.67575,                0.93666,                 1.2211,                 1.5139,             0.00033967,             0.00033967,             0.00033967
                     80,                0.90308,                 1.0325,                 1.2224,                      1,                0.93459,                0.97769,                0.71784,                0.87559,                 1.2191,                 1.4574,             0.00032553,             0.00032553,             0.00032553
                     81,                 1.0178,                 1.1202,                 1.3613,                      1,                0.93916,                0.97769,                0.73515,                0.84742,                 1.1025,                 1.4165,             0.00031138,             0.00031138,             0.00031138
                     82,                0.88185,                 0.9732,                 1.2496,                0.99846,                0.94118,                0.97431,                0.72994,                0.81296,                 1.0491,                 1.4107,             0.00029723,             0.00029723,             0.00029723
                     83,                0.93352,                 1.0249,                 1.3449,                0.99371,                0.94118,                0.97333,                0.71836,                0.80291,                 1.0996,                 1.4025,             0.00028308,             0.00028308,             0.00028308
                     84,                0.88873,                0.98676,                 1.2856,                0.99043,                0.94118,                0.97242,                0.69177,                0.84186,                  1.195,                 1.4154,             0.00026894,             0.00026894,             0.00026894
                     85,                0.95587,                 1.0733,                 1.3239,                0.99402,                0.94118,                0.98364,                0.67584,                 0.8775,                 1.1596,                 1.4522,             0.00025479,             0.00025479,             0.00025479
                     86,                0.90382,                 1.0136,                 1.2674,                0.99258,                0.94118,                0.98548,                0.68004,                0.93708,                  1.154,                 1.5106,             0.00024064,             0.00024064,             0.00024064
                     87,                 0.9565,                 1.0932,                 1.3237,                0.99398,                0.94118,                0.99222,                0.65482,                0.98921,                 1.1564,                 1.5473,              0.0002265,              0.0002265,              0.0002265
                     88,                0.96016,                 1.0801,                 1.2837,                0.99507,                0.94118,                0.99222,                0.66748,                0.96617,                 1.1447,                 1.5238,             0.00021235,             0.00021235,             0.00021235
                     89,                0.87252,                 1.0631,                 1.2463,                0.99559,                0.94118,                0.99222,                0.67537,                0.97263,                 1.1114,                 1.5314,              0.0001982,              0.0001982,              0.0001982
                     90,                0.85676,                0.97757,                 1.2592,                      1,                0.99527,                  0.995,                0.70698,                0.94826,                 1.0969,                 1.5192,             0.00018406,             0.00018406,             0.00018406
                     91,                0.72008,                  1.135,                  1.222,                      1,                0.99527,                  0.995,                0.70698,                0.94826,                 1.0969,                 1.5192,             0.00016991,             0.00016991,             0.00016991
                     92,                0.75365,                 1.1945,                 1.2634,                      1,                0.99629,                  0.995,                0.70978,                0.91268,                 1.0855,                 1.5072,             0.00015576,             0.00015576,             0.00015576
                     93,                0.73389,                 1.1924,                 1.2297,                      1,                0.99481,                  0.995,                0.72305,                0.88982,                 1.1029,                 1.4984,             0.00014161,             0.00014161,             0.00014161
                     94,                0.72025,                 1.1397,                 1.2286,                0.99551,                0.94118,                0.99222,                0.73963,                 0.8801,                 1.1051,                 1.4867,             0.00012747,             0.00012747,             0.00012747
                     95,                0.74353,                 1.1457,                 1.2609,                      1,                0.99592,                  0.995,                0.74729,                0.87537,                 1.1077,                 1.4776,             0.00011332,             0.00011332,             0.00011332
                     96,                 0.7404,                 1.1711,                 1.2316,                      1,                0.99472,                  0.995,                0.73464,                0.87183,                 1.0684,                 1.4628,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     97,                0.78099,                 1.1275,                 1.2658,                      1,                0.99601,                  0.995,                0.72696,                0.86037,                 1.0532,                 1.4457,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     98,                0.70666,                 1.0613,                 1.1935,                      1,                0.99702,                  0.995,                0.73203,                0.85465,                 1.0301,                 1.4358,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     99,                0.69456,                 1.0879,                 1.2496,                      1,                0.99654,                  0.995,                0.72221,                0.84971,                 1.0279,                 1.4259,             5.6731e-05,             5.6731e-05,             5.6731e-05
                    100,                0.70661,                 1.1154,                 1.2503,                      1,                0.99632,                  0.995,                0.73598,                0.84433,                 1.0294,                 1.4161,             4.2584e-05,             4.2584e-05,             4.2584e-05
